date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:19:26	13284/13284	---MC-	302	error ('Found')	text/html	date:Sat,%2022%20Apr%202017%2008:19:21%20GMT	http://200.195.150.93/mentor_hackathon/pagina_escolha.php	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/pagina_escolha.0.delayed	(from )
05:19:26	5638/5638	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2008:19:21%20GMT	http://200.195.150.93/mentor_hackathon/pagina_login.php	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/pagina_login.html	(from )
05:19:26	298/298	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Apr%202017%2008:19:22%20GMT	http://200.195.150.93/robots.txt		(from )
05:19:28	121200/121200	---M--	200	added ('OK')	text/css	etag:%221d970-54d98d79f4ec0%22	http://200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/bootstrap/css/bootstrap.min.css	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:29	332/332	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Apr%202017%2008:19:23%20GMT	http://200.195.150.93/vendor/font-awesome/css/font-awesome.min.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/vendor/font-awesome/css/font-awesome.min.3.delayed	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:29	6951/6951	---M--	200	added ('OK')	text/css	etag:%221b27-54d98d7a7de60%22	http://200.195.150.93/mentor_hackathon/vendor/magnific-popup/magnific-popup.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/vendor/magnific-popup/magnific-popup.css	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:29	11408/11408	---M--	200	added ('OK')	text/css	etag:%222c90-54d98d780582d%22	http://200.195.150.93/mentor_hackathon/css/creative.min.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/css/creative.min.css	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:29	1729/1729	---M--	200	added ('OK')	text/css	etag:%226c1-54d98d7807b56%22	http://200.195.150.93/mentor_hackathon/css/slick.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/css/slick.css	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:30	3155/3155	---M--	200	added ('OK')	text/css	etag:%22c53-54d98d7806bb5%22	http://200.195.150.93/mentor_hackathon/css/slick-theme.css	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/200.195.150.93/mentor_hackathon/css/slick-theme.css	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
05:19:31	0/-1	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:04:21%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Users/Alex%20Rog%c3%a9rio/Desktop/Nova%20pasta/HTTrack%20Portable/Quantica/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://200.195.150.93/mentor_hackathon/pagina_login.php)
